t,wrist_pitch_servo,wrist_roll_servo,THUMB_servo,INDEX_servo,MIDDLE_servo,RING_servo,PINKY_servo
1771501733.0587995,75.0,106.0,98.0,92.0,86.0,110.0,94.0
1771501733.0904467,75.0,106.0,96.0,92.0,86.0,110.0,93.0
1771501733.121429,75.0,106.0,98.0,93.0,86.0,110.0,94.0
1771501733.1524312,76.0,105.0,100.0,93.0,86.0,110.0,94.0
1771501733.1839893,76.0,106.0,98.0,93.0,85.0,110.0,95.0
1771501733.2159693,76.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501733.247219,77.0,106.0,100.0,92.0,85.0,110.0,95.0
1771501733.2791271,76.0,106.0,91.0,92.0,85.0,110.0,94.0
1771501733.356138,77.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501733.3891459,76.0,106.0,82.0,92.0,86.0,110.0,94.0
1771501733.4200978,77.0,106.0,100.0,92.0,86.0,110.0,95.0
1771501733.4520972,75.0,106.0,93.0,92.0,85.0,110.0,94.0
1771501733.483605,76.0,107.0,98.0,92.0,85.0,110.0,95.0
1771501733.5156038,76.0,106.0,83.0,92.0,85.0,110.0,94.0
1771501733.5456023,76.0,106.0,82.0,91.0,85.0,110.0,94.0
1771501733.577162,76.0,106.0,69.0,92.0,85.0,110.0,94.0
1771501733.6081822,76.0,106.0,100.0,92.0,85.0,110.0,95.0
1771501733.6410227,76.0,106.0,85.0,92.0,86.0,110.0,93.0
1771501733.6730509,76.0,107.0,100.0,92.0,85.0,110.0,95.0
1771501733.7017446,77.0,106.0,100.0,92.0,86.0,110.0,94.0
1771501733.7348406,75.0,106.0,87.0,92.0,85.0,110.0,95.0
1771501733.7638443,75.0,107.0,80.0,92.0,85.0,110.0,94.0
1771501733.7943811,75.0,105.0,89.0,92.0,86.0,110.0,94.0
1771501733.826356,75.0,106.0,71.0,93.0,86.0,110.0,93.0
1771501733.8568988,75.0,106.0,83.0,92.0,85.0,110.0,94.0
1771501733.888935,76.0,106.0,80.0,93.0,85.0,110.0,94.0
1771501733.920854,76.0,105.0,90.0,92.0,86.0,110.0,94.0
1771501733.9508507,76.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501733.98237,75.0,106.0,88.0,92.0,85.0,110.0,95.0
1771501734.0133688,75.0,106.0,87.0,92.0,85.0,110.0,95.0
1771501734.0453708,75.0,107.0,97.0,93.0,86.0,110.0,94.0
1771501734.0733757,75.0,106.0,99.0,94.0,86.0,110.0,95.0
1771501734.1039062,76.0,106.0,100.0,94.0,86.0,110.0,95.0
1771501734.133888,76.0,107.0,100.0,94.0,86.0,110.0,95.0
1771501734.183424,77.0,106.0,100.0,94.0,86.0,110.0,95.0
1771501734.2174284,77.0,106.0,100.0,93.0,86.0,110.0,95.0
1771501734.250426,77.0,106.0,97.0,93.0,85.0,110.0,95.0
1771501734.2819376,77.0,105.0,94.0,94.0,86.0,110.0,93.0
1771501734.3129578,77.0,106.0,100.0,94.0,85.0,110.0,95.0
1771501734.3436103,77.0,106.0,100.0,94.0,86.0,110.0,95.0
1771501734.375204,78.0,106.0,100.0,94.0,86.0,110.0,94.0
1771501734.4067152,78.0,107.0,100.0,94.0,86.0,110.0,95.0
1771501734.4397142,77.0,107.0,100.0,93.0,86.0,110.0,94.0
1771501734.4687424,77.0,106.0,100.0,93.0,86.0,110.0,95.0
1771501734.50425,77.0,106.0,100.0,94.0,86.0,110.0,94.0
1771501734.5345762,77.0,107.0,100.0,94.0,86.0,110.0,94.0
